Rk,Player,Team,Pos.
1,Christian McCaffrey,CAR,RB
2,Dalvin Cook,MIN,RB
3,Alvin Kamara,NO,RB
4,Derrick Henry,TEN,RB
5,Ezekiel Elliott,DAL,RB
6,Davante Adams,GB,WR
7,Aaron Jones,GB,RB
8,Tyreek Hill,KC,WR
9,Calvin Ridley,ATL,WR
10,Travis Kelce,KC,TE
11,Antonio Gibson,WAS,RB
12,Jonathan Taylor,IND,RB
13,Nick Chubb,CLE,RB
14,Austin Ekeler,LAC,RB
15,Stefon Diggs,BUF,WR
16,Saquon Barkley,NYG,RB
17,Joe Mixon,CIN,RB
18,DeAndre Hopkins,ARI,WR
19,D.K. Metcalf,SEA,WR
20,Justin Jefferson,MIN,WR
21,Najee Harris,PIT,RB
22,A.J. Brown,TEN,WR
23,Darren Waller,LV,TE
24,Keenan Allen,LAC,WR
25,Allen Robinson II,CHI,WR
26,Terry McLaurin,WAS,WR
27,Clyde Edwards-Helaire,KC,RB
28,Robert Woods,LAR,WR
29,CeeDee Lamb,DAL,WR
30,Chris Carson,SEA,RB
31,James Robinson,JAX,RB
32,George Kittle,SF,TE
33,Chris Godwin,TB,WR
34,Amari Cooper,DAL,WR
35,D'Andre Swift,DET,RB
36,Julio Jones,TEN,WR
37,Mike Evans,TB,WR
38,J.K. Dobbins,BAL,RB
39,Diontae Johnson,PIT,WR
40,D.J. Moore,CAR,WR
41,Tyler Lockett,SEA,WR
42,Tee Higgins,CIN,WR
43,Brandon Aiyuk,SF,WR
44,Josh Jacobs,LV,RB
45,Cooper Kupp,LAR,WR
46,David Montgomery,CHI,RB
47,Miles Sanders,PHI,RB
48,Ja'Marr Chase,CIN,WR
49,Chase Claypool,PIT,WR
50,Mike Davis,ATL,RB
51,Darrell Henderson,LAR,RB
52,Javonte Williams,DEN,RB
53,Jerry Jeudy,DEN,WR
54,Kyle Pitts,ATL,TE
55,T.J. Hockenson,DET,TE
56,Patrick Mahomes II,KC,QB
57,Robby Anderson,CAR,WR
58,Odell Beckham Jr.,CLE,WR
59,Adam Thielen,MIN,WR
60,Corey Davis,NYJ,WR
61,Josh Allen,BUF,QB
62,Kyler Murray,ARI,QB
63,Kareem Hunt,CLE,RB
64,Chase Edmonds,ARI,RB
65,Lamar Jackson,BAL,QB
66,Mark Andrews,BAL,TE
67,Trey Sermon,SF,RB
68,JuJu Smith-Schuster,PIT,WR
69,Brandin Cooks,HOU,WR
70,Kenny Golladay,NYG,WR
71,Antonio Brown,TB,WR
72,Raheem Mostert,SF,RB
73,Laviska Shenault Jr.,JAX,WR
74,Myles Gaskin,MIA,RB
75,Dak Prescott,DAL,QB
76,Tyler Boyd,CIN,WR
77,Courtland Sutton,DEN,WR
78,Will Fuller V,MIA,WR
79,DeVonta Smith,PHI,WR
80,Deebo Samuel,SF,WR
81,Michael Gallup,DAL,WR
82,Marvin Jones Jr.,JAX,WR
83,Aaron Rodgers,GB,QB
84,Damien Harris,NE,RB
85,Ronald Jones II,TB,RB
86,Curtis Samuel,WAS,WR
87,Mike Williams,LAC,WR
88,Russell Wilson,SEA,QB
89,Justin Herbert,LAC,QB
90,D.J. Chark Jr.,JAX,WR
91,Jaylen Waddle,MIA,WR
92,Marquez Callaway,NO,WR
93,Melvin Gordon III,DEN,RB
94,Michael Carter,NYJ,RB
95,AJ Dillon,GB,RB
96,Gus Edwards,BAL,RB
97,James Conner,ARI,RB
98,Jamaal Williams,DET,RB
99,Elijah Moore,NYJ,WR
100,Tony Pollard,DAL,RB
101,Tom Brady,TB,QB
102,Matthew Stafford,LAR,QB
103,Ryan Tannehill,TEN,QB
104,Nyheim Hines,IND,RB
105,Kenyan Drake,LV,RB
106,Jalen Hurts,PHI,QB
107,Noah Fant,DEN,TE
108,Jakobi Meyers,NE,WR
109,Jarvis Landry,CLE,WR
110,Devin Singletary,BUF,RB
111,Zack Moss,BUF,RB
112,Logan Thomas,WAS,TE
113,Leonard Fournette,TB,RB
114,Darnell Mooney,CHI,WR
115,Joe Burrow,CIN,QB
116,DeVante Parker,MIA,WR
117,Phillip Lindsay,HOU,RB
118,Tyler Higbee,LAR,TE
119,Sony Michel,LAR,RB
120,Mecole Hardman,KC,WR
121,Rondale Moore,ARI,WR
122,Alexander Mattison,MIN,RB
123,Malcolm Brown,MIA,RB
124,Irv Smith Jr.,MIN,TE
125,Michael Pittman Jr.,IND,WR
126,David Johnson,HOU,RB
127,Tevin Coleman,NYJ,RB
128,Damien Williams,CHI,RB
129,Russell Gage,ATL,WR
130,Henry Ruggs III,LV,WR
131,Emmanuel Sanders,BUF,WR
132,Robert Tonyan,GB,TE
133,Marquise Brown,BAL,WR
134,Dallas Goedert,PHI,TE
135,Cole Beasley,BUF,WR
136,Darrynton Evans,TEN,RB
137,Giovani Bernard,TB,RB
138,James White,NE,RB
139,Trevor Lawrence,JAX,QB
140,Tua Tagovailoa,MIA,QB
141,Bryan Edwards,LV,WR
142,Terrace Marshall Jr.,CAR,WR
143,Trey Lance,SF,QB
144,J.D. McKissic,WAS,RB
145,Rashaad Penny,SEA,RB
146,Carlos Hyde,JAX,RB
147,Chuba Hubbard,CAR,RB
148,Ty Johnson,NYJ,RB
149,Boston Scott,PHI,RB
150,Tony Jones Jr.,NO,RB
151,Nelson Agholor,NE,WR
152,Sterling Shepard,NYG,WR
153,Tyrell Williams,DET,WR
154,Ryan Fitzpatrick,WAS,QB
155,Evan Engram,NYG,TE
156,Jonnu Smith,NE,TE
157,Rhamondre Stevenson,NE,RB
158,Darrel Williams,KC,RB
159,Samaje Perine,CIN,RB
160,Salvon Ahmed,MIA,RB
161,Qadree Ollison,ATL,RB
162,Justin Fields,CHI,QB
163,Rob Gronkowski,TB,TE
164,Devontae Booker,NYG,RB
165,Randall Cobb,GB,WR
166,Matt Ryan,ATL,QB
167,Latavius Murray,NO,RB
168,Jerick McKinnon,KC,RB
169,Anthony McFarland Jr.,PIT,RB
170,T.Y. Hilton,IND,WR
171,Michael Thomas,NO,WR
172,Tre'Quan Smith,NO,WR
173,Mike Gesicki,MIA,TE
174,Gabriel Davis,BUF,WR
175,Baker Mayfield,CLE,QB
176,Kirk Cousins,MIN,QB
177,Cole Kmet,CHI,TE
178,Marquez Valdes-Scantling,GB,WR
179,Jalen Reagor,PHI,WR
180,Christian Kirk,ARI,WR
181,Nico Collins,HOU,WR
182,Gerald Everett,SEA,TE
183,Justin Jackson,LAC,RB
184,Jaret Patterson,WAS,RB
185,Breshad Perriman,DET,WR
186,Keelan Cole Sr.,NYJ,WR
187,Darius Slayton,NYG,WR
188,Amon-Ra St. Brown,DET,WR
189,A.J. Green,ARI,WR
190,Rashod Bateman,BAL,WR
191,Sammy Watkins,BAL,WR
192,Josh Palmer,LAC,WR
193,Hunter Henry,NE,TE
194,Jamison Crowder,NYJ,WR
195,DeSean Jackson,LAR,WR
196,KJ Hamler,DEN,WR
197,Quez Watkins,PHI,WR
198,Van Jefferson,LAR,WR
199,Zach Wilson,NYJ,QB
200,Ben Roethlisberger,PIT,QB
