"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP"
"1",1,"Christian McCaffrey",CAR,"RB1","13","2 out of 5 stars","0"
"2",1,"Dalvin Cook",MIN,"RB2","7","3 out of 5 stars","0"
"3",1,"Derrick Henry",TEN,"RB3","13","3 out of 5 stars","0"
"4",1,"Alvin Kamara",NO,"RB4","6","2 out of 5 stars","0"
"5",1,"Ezekiel Elliott",DAL,"RB5","7","2 out of 5 stars","0"
"6",1,"Nick Chubb",CLE,"RB6","13","4 out of 5 stars","0"
"7",1,"Aaron Jones",GB,"RB7","13","0 out of 5 stars","+2"
"8",2,"Jonathan Taylor",IND,"RB8","14","4 out of 5 stars","+2"
"9",2,"Saquon Barkley",NYG,"RB9","10","2 out of 5 stars","-1"
"10",2,"Davante Adams",GB,"WR1","13","1 out of 5 stars","-3"
"11",2,"Tyreek Hill",KC,"WR2","12","3 out of 5 stars","0"
"12",2,"Stefon Diggs",BUF,"WR3","7","3 out of 5 stars","+4"
"13",2,"Calvin Ridley",ATL,"WR4","6","4 out of 5 stars","+8"
"14",2,"Antonio Gibson",WAS,"RB10","9","3 out of 5 stars","+3"
"15",2,"Travis Kelce",KC,"TE1","12","3 out of 5 stars","-3"
"16",3,"D.K. Metcalf",SEA,"WR5","9","1 out of 5 stars","+2"
"17",3,"DeAndre Hopkins",ARI,"WR6","12","2 out of 5 stars","+2"
"18",3,"Joe Mixon",CIN,"RB11","10","3 out of 5 stars","+2"
"19",3,"A.J. Brown",TEN,"WR7","13","3 out of 5 stars","+4"
"20",3,"Darren Waller",LV,"TE2","8","4 out of 5 stars","+7"
"21",3,"Najee Harris",PIT,"RB12","7","5 out of 5 stars","-6"
"22",3,"Austin Ekeler",LAC,"RB13","7","4 out of 5 stars","-9"
"23",3,"Justin Jefferson",MIN,"WR8","7","3 out of 5 stars","+2"
"24",3,"Patrick Mahomes II",KC,"QB1","12","4 out of 5 stars","-10"
"25",3,"George Kittle",SF,"TE3","6","4 out of 5 stars","+1"
"26",3,"Terry McLaurin",WAS,"WR9","9","3 out of 5 stars","+8"
"27",3,"Clyde Edwards-Helaire",KC,"RB14","12","4 out of 5 stars","-5"
"28",3,"Mike Evans",TB,"WR10","9","2 out of 5 stars","+8"
"29",3,"Allen Robinson II",CHI,"WR11","10","3 out of 5 stars","+9"
"30",3,"Chris Carson",SEA,"RB15","9","1 out of 5 stars","+2"
"31",3,"CeeDee Lamb",DAL,"WR12","7","1 out of 5 stars","+6"
"32",3,"Keenan Allen",LAC,"WR13","7","3 out of 5 stars","-3"
"33",3,"David Montgomery",CHI,"RB16","10","3 out of 5 stars","-3"
"34",4,"Chris Godwin",TB,"WR14","9","2 out of 5 stars","+8"
"35",4,"Amari Cooper",DAL,"WR15","7","1 out of 5 stars","+9"
"36",4,"Robert Woods",LAR,"WR16","11","5 out of 5 stars","+7"
"37",4,"Julio Jones",TEN,"WR17","13","3 out of 5 stars","+3"
"38",4,"D.J. Moore",CAR,"WR18","13","5 out of 5 stars","+17"
"39",4,"Josh Allen",BUF,"QB2","7","1 out of 5 stars","-8"
"40",4,"D'Andre Swift",DET,"RB17","9","0 out of 5 stars","-7"
"41",4,"James Robinson",JAC,"RB18","7","4 out of 5 stars","+7"
"42",4,"Miles Sanders",PHI,"RB19","14","3 out of 5 stars","-7"
"43",4,"Josh Jacobs",LV,"RB20","8","2 out of 5 stars","-15"
"44",4,"Adam Thielen",MIN,"WR19","7","3 out of 5 stars","+1"
"45",4,"Cooper Kupp",LAR,"WR20","11","5 out of 5 stars","+6"
"46",4,"Tyler Lockett",SEA,"WR21","9","1 out of 5 stars","+8"
"47",4,"Kyler Murray",ARI,"QB3","12","2 out of 5 stars","-8"
"48",4,"Brandon Aiyuk",SF,"WR22","6","5 out of 5 stars","+15"
"49",4,"Mark Andrews",BAL,"TE4","8","4 out of 5 stars","+7"
"50",4,"Darrell Henderson",LAR,"RB21","11","4 out of 5 stars","+8"
"51",5,"Lamar Jackson",BAL,"QB4","8","2 out of 5 stars","-10"
"52",5,"Tee Higgins",CIN,"WR23","10","2 out of 5 stars","+21"
"53",5,"Diontae Johnson",PIT,"WR24","7","2 out of 5 stars","+7"
"54",5,"T.J. Hockenson",DET,"TE5","9","4 out of 5 stars","+8"
"55",5,"Kenny Golladay",NYG,"WR25","10","3 out of 5 stars","+12"
"56",5,"Kyle Pitts",ATL,"TE6","6","2 out of 5 stars","-7"
"57",5,"Odell Beckham Jr.",CLE,"WR26","13","1 out of 5 stars","+12"
"58",5,"Mike Davis",ATL,"RB22","6","2 out of 5 stars","+1"
"59",5,"Chase Claypool",PIT,"WR27","7","2 out of 5 stars","+12"
"60",5,"Kareem Hunt",CLE,"RB23","13","4 out of 5 stars","-14"
"61",5,"Dak Prescott",DAL,"QB5","7","2 out of 5 stars","-11"
"62",5,"Myles Gaskin",MIA,"RB24","14","4 out of 5 stars","-15"
"63",5,"Ja'Marr Chase",CIN,"WR28","10","2 out of 5 stars","+3"
"64",5,"Damien Harris",NE,"RB25","14","3 out of 5 stars","+10"
"65",5,"Jerry Jeudy",DEN,"WR29","11","4 out of 5 stars","+13"
"66",5,"Courtland Sutton",DEN,"WR30","11","4 out of 5 stars","+13"
"67",5,"Russell Wilson",SEA,"QB6","9","0 out of 5 stars","-15"
"68",5,"Gus Edwards",BAL,"RB26","8","4 out of 5 stars","+41"
"69",5,"Aaron Rodgers",GB,"QB7","13","2 out of 5 stars","-16"
"70",5,"Javonte Williams",DEN,"RB27","11","5 out of 5 stars","-5"
"71",5,"Justin Herbert",LAC,"QB8","7","2 out of 5 stars","-14"
"72",5,"J.K. Dobbins",BAL,"RB28","8","4 out of 5 stars","-48"
"73",5,"JuJu Smith-Schuster",PIT,"WR31","7","2 out of 5 stars","+3"
"74",5,"Chase Edmonds",ARI,"RB29","12","3 out of 5 stars","-10"
"75",5,"Robby Anderson",CAR,"WR32","13","5 out of 5 stars","+10"
"76",6,"Raheem Mostert",SF,"RB30","6","3 out of 5 stars","-15"
"77",6,"Ronald Jones II",TB,"RB31","9","0 out of 5 stars","-2"
"78",6,"Deebo Samuel",SF,"WR33","6","5 out of 5 stars","+9"
"79",6,"Melvin Gordon III",DEN,"RB32","11","5 out of 5 stars","-9"
"80",6,"Brandin Cooks",HOU,"WR34","10","3 out of 5 stars","+19"
"81",6,"Tyler Boyd",CIN,"WR35","10","2 out of 5 stars","+5"
"82",6,"D.J. Chark Jr.",JAC,"WR36","7","5 out of 5 stars","0"
"83",6,"Noah Fant",DEN,"TE7","11","4 out of 5 stars","+14"
"84",6,"Will Fuller V",MIA,"WR37","14","3 out of 5 stars","+21"
"85",6,"Tom Brady",TB,"QB9","9","2 out of 5 stars","-13"
"86",6,"Ryan Tannehill",TEN,"QB10","13","2 out of 5 stars","-6"
"87",6,"Logan Thomas",WAS,"TE8","9","3 out of 5 stars","+2"
"88",6,"DeVonta Smith",PHI,"WR38","14","3 out of 5 stars","-7"
"89",6,"Robert Tonyan",GB,"TE9","13","3 out of 5 stars","+7"
"90",6,"Jalen Hurts",PHI,"QB11","14","4 out of 5 stars","+1"
"91",6,"Trey Sermon",SF,"RB33","6","3 out of 5 stars","-7"
"92",6,"Corey Davis",NYJ,"WR39","6","4 out of 5 stars","+18"
"93",6,"Antonio Brown",TB,"WR40","9","2 out of 5 stars","+5"
"94",6,"Dallas Goedert",PHI,"TE10","14","3 out of 5 stars","0"
"95",6,"Curtis Samuel",WAS,"WR41","9","3 out of 5 stars","+27"
"96",6,"Matthew Stafford",LAR,"QB12","11","4 out of 5 stars","-13"
"97",6,"Mike Williams",LAC,"WR42","7","3 out of 5 stars","+14"
"98",6,"James Conner",ARI,"RB34","12","3 out of 5 stars","-5"
"99",6,"Zack Moss",BUF,"RB35","7","3 out of 5 stars","-11"
"100",6,"Michael Gallup",DAL,"WR43","7","1 out of 5 stars","+19"
"101",6,"Laviska Shenault Jr.",JAC,"WR44","7","5 out of 5 stars","+7"
"102",6,"Jarvis Landry",CLE,"WR45","13","1 out of 5 stars","-7"
"103",6,"Tyler Higbee",LAR,"TE11","11","2 out of 5 stars","+21"
"104",6,"Leonard Fournette",TB,"RB36","9","0 out of 5 stars","-27"
"105",6,"AJ Dillon",GB,"RB37","13","0 out of 5 stars","-13"
"106",6,"Michael Carter",NYJ,"RB38","6","4 out of 5 stars","-16"
"107",6,"Joe Burrow",CIN,"QB13","10","2 out of 5 stars","-7"
"108",6,"Marvin Jones Jr.",JAC,"WR46","7","5 out of 5 stars","+26"
"109",7,"Mike Gesicki",MIA,"TE12","14","4 out of 5 stars","+9"
"110",7,"Kenyan Drake",LV,"RB39","8","2 out of 5 stars","-6"
"111",7,"Irv Smith Jr.",MIN,"TE13","7","2 out of 5 stars","+26"
"112",7,"Jamaal Williams",DET,"RB40","9","0 out of 5 stars","+5"
"113",7,"Marquise Brown",BAL,"WR47","8","2 out of 5 stars","+3"
"114",7,"Michael Thomas",NO,"WR48","6","4 out of 5 stars","-46"
"115",7,"Devin Singletary",BUF,"RB41","7","3 out of 5 stars","-14"
"116",7,"Matt Ryan",ATL,"QB14","6","3 out of 5 stars","+9"
"117",7,"Jaylen Waddle",MIA,"WR49","14","3 out of 5 stars","-5"
"118",7,"David Johnson",HOU,"RB42","10","4 out of 5 stars","-15"
"119",7,"Michael Pittman Jr.",IND,"WR50","14","5 out of 5 stars","-5"
"120",7,"DeVante Parker",MIA,"WR51","14","3 out of 5 stars","+26"
"121",7,"Kirk Cousins",MIN,"QB15","7","3 out of 5 stars","+24"
"122",7,"Jonnu Smith",NE,"TE14","14","5 out of 5 stars","+29"
"123",7,"Trevor Lawrence",JAC,"QB16","7","4 out of 5 stars","0"
"124",7,"Tony Pollard",DAL,"RB43","7","2 out of 5 stars","+2"
"125",7,"Phillip Lindsay",HOU,"RB44","10","4 out of 5 stars","+25"
"126",7,"Darnell Mooney",CHI,"WR52","10","3 out of 5 stars","+9"
"127",7,"Rob Gronkowski",TB,"TE15","9","3 out of 5 stars","-25"
"128",7,"Evan Engram",NYG,"TE16","10","3 out of 5 stars","+15"
"129",7,"Tua Tagovailoa",MIA,"QB17","14","4 out of 5 stars","+30"
"130",7,"Nyheim Hines",IND,"RB45","14","4 out of 5 stars","+1"
"131",7,"Baker Mayfield",CLE,"QB18","13","3 out of 5 stars","+2"
"132",7,"Mecole Hardman",KC,"WR53","12","3 out of 5 stars","-3"
"133",7,"Hunter Henry",NE,"TE17","14","5 out of 5 stars","+9"
"134",7,"Latavius Murray",NO,"RB46","6","2 out of 5 stars","-6"
"135",7,"Henry Ruggs III",LV,"WR54","8","1 out of 5 stars","-14"
"136",7,"T.Y. Hilton",IND,"WR55","14","5 out of 5 stars","0"
"137",7,"Alexander Mattison",MIN,"RB47","7","3 out of 5 stars","-5"
"138",7,"Ryan Fitzpatrick",WAS,"QB19","9","4 out of 5 stars","+26"
"139",7,"Sony Michel",LAR,"RB48","11","4 out of 5 stars","+15"
"140",8,"Ben Roethlisberger",PIT,"QB20","7","4 out of 5 stars","+15"
"141",8,"Gerald Everett",SEA,"TE18","9","1 out of 5 stars","+54"
"142",8,"Justin Fields",CHI,"QB21","10","2 out of 5 stars","-1"
"143",8,"James White",NE,"RB49","14","3 out of 5 stars","+47"
"144",8,"Tevin Coleman",NYJ,"RB50","6","4 out of 5 stars","+29"
"145",8,"Jared Cook",LAC,"TE19","7","3 out of 5 stars","+13"
"146",8,"Cole Beasley",BUF,"WR56","7","3 out of 5 stars","+7"
"147",8,"J.D. McKissic",WAS,"RB51","9","3 out of 5 stars","0"
"148",8,"Elijah Moore",NYJ,"WR57","6","4 out of 5 stars","+22"
"149",8,"Los Angeles Rams",LAR,"DST1","11","3 out of 5 stars","-43"
"150",8,"Blake Jarwin",DAL,"TE20","7","2 out of 5 stars","+100"
"151",8,"Pittsburgh Steelers",PIT,"DST2","7","2 out of 5 stars","-44"
"152",8,"Russell Gage",ATL,"WR58","6","4 out of 5 stars","+14"
"153",8,"Nelson Agholor",NE,"WR59","14","4 out of 5 stars","+22"
"154",8,"Cole Kmet",CHI,"TE21","10","1 out of 5 stars","+56"
"155",8,"Derek Carr",LV,"QB22","8","3 out of 5 stars","+16"
"156",8,"Jalen Reagor",PHI,"WR60","14","3 out of 5 stars","+27"
"157",8,"Austin Hooper",CLE,"TE22","13","2 out of 5 stars","+77"
"158",8,"Daniel Jones",NYG,"QB23","10","4 out of 5 stars","+103"
"159",8,"Baltimore Ravens",BAL,"DST3","8","2 out of 5 stars","-39"
"160",8,"Rashaad Penny",SEA,"RB52","9","1 out of 5 stars","-8"
"161",8,"Sterling Shepard",NYG,"WR61","10","3 out of 5 stars","+46"
"162",8,"Jakobi Meyers",NE,"WR62","14","4 out of 5 stars","+41"
"163",8,"Trey Lance",SF,"QB24","6","5 out of 5 stars","-19"
"164",8,"Adam Trautman",NO,"TE23","6","4 out of 5 stars","+30"
"165",8,"Rashod Bateman",BAL,"WR63","8","2 out of 5 stars","+14"
"166",8,"Washington Football Team",WAS,"DST4","9","2 out of 5 stars","-51"
"167",8,"Giovani Bernard",TB,"RB53","9","0 out of 5 stars","+20"
"168",8,"San Francisco 49ers",SF,"DST5","6","3 out of 5 stars","-29"
"169",8,"Tampa Bay Buccaneers",TB,"DST6","9","5 out of 5 stars","-56"
"170",8,"Emmanuel Sanders",BUF,"WR64","7","3 out of 5 stars","+48"
"171",8,"Zach Ertz",PHI,"TE24","14","3 out of 5 stars","-11"
"172",8,"Carson Wentz",IND,"QB25","14","4 out of 5 stars","+53"
"173",8,"Gabriel Davis",BUF,"WR65","7","3 out of 5 stars","+16"
"174",8,"Justin Tucker",BAL,"K1","8","4 out of 5 stars","-47"
"175",8,"Tre'Quan Smith",NO,"WR66","6","4 out of 5 stars","+51"
"176",8,"Indianapolis Colts",IND,"DST7","14","2 out of 5 stars","-27"
"177",8,"Sam Darnold",CAR,"QB26","13","4 out of 5 stars","+97"
"178",8,"Jamison Crowder",NYJ,"WR67","6","4 out of 5 stars","+27"
"179",8,"Zach Wilson",NYJ,"QB27","6","3 out of 5 stars","+21"
"180",8,"Anthony Firkser",TEN,"TE25","13","2 out of 5 stars","+19"
"181",8,"Harrison Butker",KC,"K2","12","2 out of 5 stars","-51"
"182",8,"Rondale Moore",ARI,"WR68","12","2 out of 5 stars","+2"
"183",8,"John Brown",LV,"WR69","8","1 out of 5 stars","+21"
"184",8,"Christian Kirk",ARI,"WR70","12","2 out of 5 stars","+35"
"185",9,"Marlon Mack",IND,"RB54","14","4 out of 5 stars","-23"
"186",9,"Younghoe Koo",ATL,"K3","6","3 out of 5 stars","-48"
"187",9,"Bryan Edwards",LV,"WR71","8","1 out of 5 stars","-1"
"188",9,"Malcolm Brown",MIA,"RB55","14","4 out of 5 stars","+18"
"189",9,"Tarik Cohen",CHI,"RB56","10","3 out of 5 stars","+35"
"190",9,"Eric Ebron",PIT,"TE26","7","5 out of 5 stars","+78"
"191",9,"Carlos Hyde",JAC,"RB57","7","4 out of 5 stars","+40"
"192",9,"Parris Campbell",IND,"WR72","14","5 out of 5 stars","+64"
"193",9,"Buffalo Bills",BUF,"DST8","7","3 out of 5 stars","-53"
"194",9,"Salvon Ahmed",MIA,"RB58","14","4 out of 5 stars","+43"
"195",9,"Jameis Winston",NO,"QB28","6","3 out of 5 stars","-15"
"196",9,"New England Patriots",NE,"DST9","14","0 out of 5 stars","-31"
"197",9,"Darrel Williams",KC,"RB59","12","4 out of 5 stars","+5"
"198",9,"Marquez Callaway",NO,"WR73","6","4 out of 5 stars","-29"
"199",9,"Greg Zuerlein",DAL,"K4","7","4 out of 5 stars","-36"
"200",9,"Kansas City Chiefs",KC,"DST10","12","1 out of 5 stars","-9"
"201",9,"Terrace Marshall Jr.",CAR,"WR74","13","5 out of 5 stars","-13"
"202",9,"New Orleans Saints",NO,"DST11","6","3 out of 5 stars","+68"
"203",9,"Damien Williams",CHI,"RB60","10","3 out of 5 stars","-7"
"204",9,"Breshad Perriman",DET,"WR75","9","1 out of 5 stars","+51"
"205",9,"A.J. Green",ARI,"WR76","12","2 out of 5 stars","-27"
"206",9,"Darius Slayton",NYG,"WR77","10","3 out of 5 stars","+29"
"207",9,"Kenneth Gainwell",PHI,"RB61","14","3 out of 5 stars","-10"
"208",9,"Darrynton Evans",TEN,"RB62","13","3 out of 5 stars","+9"
"209",9,"Jason Sanders",MIA,"K5","14","4 out of 5 stars","-53"
"210",9,"Justin Jackson",LAC,"RB63","7","4 out of 5 stars","+42"
"211",9,"Allen Lazard",GB,"WR78","13","1 out of 5 stars","+3"
"212",9,"Jared Goff",DET,"QB29","9","1 out of 5 stars","+77"
"213",9,"Marquez Valdes-Scantling",GB,"WR79","13","1 out of 5 stars","-1"
"214",9,"Rhamondre Stevenson",NE,"RB64","14","3 out of 5 stars","-21"
"215",9,"Randall Cobb",GB,"WR80","13","1 out of 5 stars","-14"
"216",9,"Miami Dolphins",MIA,"DST12","14","2 out of 5 stars","-39"
"217",9,"Amon-Ra St. Brown",DET,"WR81","9","1 out of 5 stars","-25"
"218",9,"Chuba Hubbard",CAR,"RB65","13","2 out of 5 stars","-50"
"219",9,"Joshua Kelley",LAC,"RB66","7","4 out of 5 stars","+26"
"220",9,"Denver Broncos",DEN,"DST13","11","2 out of 5 stars","-44"
"221",9,"Chicago Bears",CHI,"DST14","10","2 out of 5 stars","+2"
"222",9,"Cleveland Browns",CLE,"DST15","13","3 out of 5 stars","-48"
"223",9,"Rodrigo Blankenship",IND,"K6","14","3 out of 5 stars","-66"
"224",9,"Tyrell Williams",DET,"WR82","9","1 out of 5 stars","+58"
"225",9,"Los Angeles Chargers",LAC,"DST16","7","4 out of 5 stars","+8"
"226",9,"Matt Prater",ARI,"K7","12","4 out of 5 stars","-28"
"227",9,"Sammy Watkins",BAL,"WR83","8","2 out of 5 stars","+31"
"228",9,"Mark Ingram II",HOU,"RB67","10","4 out of 5 stars","-17"
"229",9,"Tyler Bass",BUF,"K8","7","3 out of 5 stars","-81"
"230",9,"Boston Scott",PHI,"RB68","14","3 out of 5 stars","-1"
"231",9,"Hayden Hurst",ATL,"TE27","6","2 out of 5 stars","+23"
"232",9,"Robbie Gould",SF,"K9","6","4 out of 5 stars","-24"
"233",9,"Jason Myers",SEA,"K10","9","4 out of 5 stars","-48"
"234",9,"Ryan Succop",TB,"K11","9","2 out of 5 stars","-67"
"235",9,"Dawson Knox",BUF,"TE28","7","2 out of 5 stars","+58"
"236",9,"Cam Newton",NE,"QB30","14","5 out of 5 stars","+29"
"237",9,"Green Bay Packers",GB,"DST17","13","5 out of 5 stars","-1"
"238",9,"O.J. Howard",TB,"TE29","9","3 out of 5 stars","+9"
"239",10,"Seattle Seahawks",SEA,"DST18","9","4 out of 5 stars","+4"
"240",10,"Benny Snell Jr.",PIT,"RB69","7","5 out of 5 stars","+2"
"241",10,"Wil Lutz",NO,"K12","6","4 out of 5 stars","-26"
"242",10,"Ty Johnson",NYJ,"RB70","6","4 out of 5 stars","+36"
"243",10,"KJ Hamler",DEN,"WR84","11","4 out of 5 stars","+102"
"244",10,"DeSean Jackson",LAR,"WR85","11","5 out of 5 stars","+37"
"245",10,"Mason Crosby",GB,"K13","13","0 out of 5 stars","-32"
"246",10,"Minnesota Vikings",MIN,"DST19","7","3 out of 5 stars","-19"
"247",10,"Michael Badgley",LAC,"K14","7","2 out of 5 stars","+2"
"248",10,"Denzel Mims",NYJ,"WR86","6","4 out of 5 stars","+15"
"249",10,"Josh Reynolds",TEN,"WR87","13","3 out of 5 stars","+70"
"250",10,"Van Jefferson",LAR,"WR88","11","5 out of 5 stars","+102"
"251",10,"Dan Arnold",CAR,"TE30","13","4 out of 5 stars","+35"
"252",10,"Devontae Booker",NYG,"RB71","10","2 out of 5 stars","-43"
"253",10,"Teddy Bridgewater",DEN,"QB31","11","5 out of 5 stars","+70"
"254",10,"Jerick McKinnon",KC,"RB72","12","4 out of 5 stars","-16"
"255",10,"Daniel Carlson",LV,"K15","8","2 out of 5 stars","-73"
"256",10,"Philadelphia Eagles",PHI,"DST20","14","4 out of 5 stars","+88"
"257",10,"Tim Patrick",DEN,"WR89","11","4 out of 5 stars","+64"
"258",10,"Hunter Renfrow",LV,"WR90","8","1 out of 5 stars","+75"
"259",10,"Brandon McManus",DEN,"K16","11","1 out of 5 stars","-39"
"260",10,"Jake Elliott",PHI,"K17","14","4 out of 5 stars","+82"
"261",10,"Wayne Gallman",SF,"RB73","6","3 out of 5 stars","+22"
"262",10,"Jeff Wilson Jr.",SF,"RB74","6","3 out of 5 stars","+13"
"263",10,"Matt Breida",BUF,"RB75","7","3 out of 5 stars","-"
"264",10,"Kadarius Toney",NYG,"WR91","10","3 out of 5 stars","-43"
"265",10,"James Washington",PIT,"WR92","7","2 out of 5 stars","+88"
"266",10,"Nico Collins",HOU,"WR93","10","3 out of 5 stars","-22"
"267",10,"Jack Doyle",IND,"TE31","14","4 out of 5 stars","-"
"268",10,"Taysom Hill",NO,"QB32","6","3 out of 5 stars","-40"
"269",10,"Jimmy Graham",CHI,"TE32","10","1 out of 5 stars","0"
"270",10,"Joey Slye",FA,"K18","-","-","+71"
"271",10,"Samaje Perine",CIN,"RB76","10","3 out of 5 stars","+45"
"272",10,"Tennessee Titans",TEN,"DST21","13","3 out of 5 stars","-50"
"273",10,"Arizona Cardinals",ARI,"DST22","12","3 out of 5 stars","-11"
"274",10,"Anthony McFarland Jr.",PIT,"RB77","7","5 out of 5 stars","-35"
"275",10,"La'Mical Perine",NYJ,"RB78","6","4 out of 5 stars","-8"
"276",10,"New York Giants",NYG,"DST23","10","4 out of 5 stars","+54"
"277",10,"Anthony Miller",HOU,"WR94","10","3 out of 5 stars","+48"
"278",10,"Xavier Jones",LAR,"RB79","11","4 out of 5 stars","-106"
"279",10,"Chris Herndon IV",NYJ,"TE33","6","3 out of 5 stars","-"
"280",10,"Chris Boswell",PIT,"K19","7","2 out of 5 stars","-9"
"281",10,"Matt Gay",LAR,"K20","11","5 out of 5 stars","-51"
